"By Administrative District","Item","UNIT","2020.01 Month","2020.02 Month","2020.03 Month","2020.04 Month","2020.05 Month","2020.06 Month","2020.07 Month","2020.08 Month","2020.09 Month","2020.10 Month","2020.11 Month","2020.12 Month","2021.01 Month","2021.02 Month","2021.03 Month","2021.04 Month","2021.05 Month","2021.06 Month","2021.07 Month","2021.08 Month","2021.09 Month","2021.10 Month","2021.11 Month","2021.12 Month","2022.01 Month","2022.02 Month","2022.03 Month","2022.04 Month","2022.05 Month","2022.06 Month","2022.07 Month","2022.08 Month","2022.09 Month","2022.10 Month","2022.11 Month","2022.12 Month","2023.01 Month","2023.02 Month","2023.03 Month","2023.04 Month","2023.05 Month","2023.06 Month","2023.07 Month","2023.08 Month","2023.09 Month","2023.10 Month","2023.11 Month","2023.12 Month","2024.01 Month","2024.02 Month","2024.03 Month","2024.04 Month","2024.05 Month","2024.06 Month","2024.07 Month","2024.08 Month","2024.09 Month","2024.10 Month","2024.11 Month","2024.12 Month","2025.01 Month","2025.02 Month","2025.03 Month","2025.04 Month","2025.05 Month","2025.06 Month","2025.07 Month","2025.08 Month","2025.09 Month","2025.10 Month","2025.11 Month",
"Gangwon-do","Household[Household]","Household","720119","721003","721794","722573","724966","726980","728771","730504","732005","733436","734819","736301","736825","737787","735644","736749","736980","738068","739290","740341","742196","743798","745060","746220","747023","748626","750531","751554","752649","753336","754257","755162","754682","755184","755157","755481","755474","756314","758123","758699","759593","759954","760211","760627","760903","760656","760636","760635","760361","760929","763008","763568","763999","764385","764811","764793","765004","764838","764767","764834","764301","765316","766193","766296","766480","766581","766781","767034","767540","767989","768570",
"Chuncheon-si","Household[Household]","Household","123287","123648","123858","124032","124390","124658","124937","125313","125637","125978","126364","126685","126834","127338","126993","127227","127486","127689","127886","128183","128894","129384","129730","130277","130633","131133","131520","131864","132179","132351","132610","133109","133206","133430","133457","133668","133834","134241","134626","134738","135100","135273","135345","135494","135537","135508","135529","135498","135440","135843","136578","136782","136911","136914","136892","136907","136988","136967","137094","137157","137070","137701","137711","137651","137625","137627","137591","137662","137717","137977","138227",
"Wonju-si","Household[Household]","Household","155260","155879","156259","156579","157244","157676","158227","158559","159026","159397","159769","160307","160623","161195","161044","161324","161658","162075","162463","162870","163394","163865","164418","164895","165282","165865","166291","166639","167123","167510","167854","168161","168271","168508","168652","168755","168882","169217","169612","169837","170053","170124","170360","170730","170949","171080","171190","171275","171294","171581","171912","172087","172255","172601","173016","173250","173430","173543","173595","173625","173682","174071","174342","174564","174748","175010","175213","175371","175582","175742","175965",
"Gangneung-si","Household[Household]","Household","99108","99293","99426","99618","99870","100084","100321","100566","100802","100992","101167","101424","101620","101697","101652","101768","101729","101951","102198","102334","102629","102774","102878","102879","102864","102954","103187","103259","103321","103321","103374","103457","103406","103403","103332","103352","103340","103427","103589","103727","103804","103801","103812","103808","103817","103690","103656","103682","103639","103744","103996","104056","104094","104109","104101","104069","104185","104107","104029","104223","104268","104565","104774","104799","104820","104802","104886","104983","105090","105062","105029",
"Donghae-si","Household[Household]","Household","41245","41265","41321","41413","41597","41756","41821","41965","42042","42161","42212","42306","42296","42320","42178","42232","42361","42414","42498","42551","42636","42743","42799","42916","42913","42960","42988","42985","43014","43056","43211","43305","43215","43212","43228","43251","43252","43265","43324","43303","43350","43323","43344","43348","43340","43333","43343","43361","43433","43438","43447","43443","43448","43475","43469","43485","43477","43544","43594","43606","43611","43641","43601","43549","43532","43546","43520","43528","43547","43554","43480",
"Taebaek-si","Household[Household]","Household","21721","21668","21639","21579","21658","21647","21634","21639","21656","21644","21610","21588","21534","21468","21458","21457","21100","20899","20869","20867","20842","20826","20788","20731","20704","20634","20617","20624","20599","20582","20600","20591","20366","20345","20332","20324","20279","20223","20237","20228","20219","20272","20261","20240","20273","20336","20364","20377","20341","20277","20283","20275","20255","20249","20247","20231","20266","20245","20240","20246","20224","20223","20251","20238","20229","20225","20211","20200","20180","20154","20088",
"Sokcho-si","Household[Household]","Household","38723","38720","38784","38830","38979","39253","39396","39534","39621","39725","39825","39932","39991","39996","39841","39983","40033","40130","40252","40302","40418","40512","40640","40706","40728","40798","40848","40872","40929","41054","41203","41209","41182","41194","41189","41193","41216","41202","41228","41253","41317","41334","41354","41347","41342","41333","41324","41330","41353","41358","41376","41412","41441","41419","41450","41406","41350","41321","41282","41278","41209","41183","41161","41118","41125","41150","41184","41147","41160","41156","41163",
"Samcheok-si","Household[Household]","Household","33881","33737","33558","33492","33551","33557","33638","33750","33779","33776","33733","33635","33476","33356","33175","33294","33252","33225","33168","33161","33336","33398","33355","33184","33196","33397","33994","34083","34090","34066","34024","33840","33894","33897","33854","33715","33567","33542","34085","34090","34077","34030","33987","33942","33957","33882","33826","33700","33500","33397","33948","33996","34023","33951","33923","33854","33865","33840","33845","33687","33459","33389","33792","33784","33753","33687","33540","33479","33490","33440","33381",
"Hongcheon-gun","Household[Household]","Household","33117","33145","33179","33283","33457","33669","33956","34004","34032","34036","34117","34187","34233","34241","34037","34046","34016","34085","34102","34118","34145","34213","34225","34237","34265","34283","34304","34283","34328","34337","34318","34373","34316","34383","34410","34510","34530","34572","34579","34573","34605","34609","34633","34636","34659","34558","34558","34594","34675","34727","34777","34782","34851","34857","34908","34923","34916","34887","34881","34889","34905","34893","34904","34921","35004","35002","35038","35035","35078","35019","35001",
"Hoengseong-gun","Household[Household]","Household","22805","22863","22859","22873","22954","23015","23035","23088","23152","23192","23243","23276","23305","23339","23230","23342","23440","23486","23541","23547","23516","23559","23585","23593","23568","23598","23606","23702","23719","23747","23771","23791","23747","23767","23742","23767","23807","23828","23864","23937","23948","23951","23934","23907","23913","23915","23911","23908","23885","23908","23941","23990","24035","24056","24082","24095","24091","24060","24054","24048","24039","24041","24065","24078","24058","24068","24065","24093","24091","24108","24079",
"Yeongwol-gun","Household[Household]","Household","21016","21027","21071","21010","21082","21237","21240","21252","21215","21242","21272","21246","21197","21134","21264","21284","21028","21025","21052","21091","21102","21133","21136","21143","21120","21141","21245","21283","21308","21280","21278","21276","21292","21278","21309","21288","21233","21192","21354","21354","21346","21359","21349","21349","21317","21316","21275","21276","21225","21199","21279","21298","21292","21301","21281","21252","21221","21208","21168","21139","21070","21023","21109","21097","21097","21069","21035","21039","21007","20991","20923",
"Pyeongchang-gun","Household[Household]","Household","21373","21356","21364","21359","21404","21403","21427","21467","21495","21545","21558","21618","21623","21621","21411","21436","21465","21479","21501","21524","21548","21597","21629","21665","21733","21771","21793","21775","21827","21845","21876","21876","21873","21866","21896","21927","21902","21898","21877","21869","21891","21928","21927","21948","21927","21950","21971","21993","22008","22000","22026","22063","22078","22071","22093","22075","22068","22075","22070","22080","22054","22024","21993","21997","22016","21982","21969","21992","22006","21990","22000",
"Jeongseon-gun","Household[Household]","Household","19960","19938","19945","19995","20050","20125","20144","20182","20197","20227","20239","20230","20213","20198","19708","19699","19710","19710","19718","19703","19679","19669","19687","19713","19721","19719","19705","19700","19710","19698","19690","19687","19598","19592","19550","19533","19528","19520","19508","19505","19473","19471","19443","19441","19421","19340","19319","19287","19262","19257","19264","19262","19247","19215","19208","19189","19191","19175","19148","19124","19112","19082","19066","19091","19095","19103","19121","19126","19129","19323","19764",
"Cheorwon-gun","Household[Household]","Household","21197","21159","21161","21113","21136","21127","21114","21101","21097","21115","21128","21182","21175","21161","21066","21081","21003","21002","20987","20935","20902","20888","20868","20862","20839","20835","20809","20791","20778","20780","20754","20762","20692","20683","20660","20605","20575","20595","20602","20592","20594","20567","20528","20500","20502","20494","20514","20501","20481","20450","20475","20460","20441","20410","20381","20350","20328","20322","20288","20270","20273","20247","20218","20202","20183","20166","20210","20214","20228","20240","20278",
"Hwacheon-gun","Household[Household]","Household","12560","12510","12506","12506","12564","12623","12671","12726","12779","12859","12856","12862","12813","12771","12688","12634","12618","12632","12624","12610","12599","12583","12580","12556","12529","12519","12510","12495","12481","12447","12392","12350","12303","12243","12192","12114","12071","12049","12005","12017","12094","12110","12103","12098","12095","12108","12073","12052","12011","11970","11978","11976","11950","12038","12091","12082","12071","12077","12080","12055","11999","11967","11972","11972","11995","11965","12001","12002","12003","11980","11969",
"Yanggu-gun","Household[Household]","Household","10764","10709","10693","10679","10680","10691","10671","10723","10726","10722","10842","10828","10824","10828","10789","10775","10741","10708","10691","10692","10677","10694","10682","10660","10666","10666","10667","10674","10671","10659","10651","10661","10605","10610","10589","10609","10624","10638","10657","10651","10660","10645","10625","10608","10585","10568","10560","10544","10537","10536","10534","10488","10477","10486","10482","10462","10427","10393","10367","10367","10375","10346","10336","10346","10337","10333","10378","10382","10405","10412","10403",
"Inje-gun","Household[Household]","Household","15580","15572","15608","15649","15693","15702","15710","15758","15790","15799","15837","15900","15975","15976","15913","15937","16012","16147","16233","16262","16261","16277","16324","16380","16405","16416","16440","16479","16485","16494","16531","16566","16569","16555","16562","16631","16654","16661","16698","16723","16709","16737","16751","16788","16789","16743","16756","16787","16804","16762","16751","16771","16772","16788","16774","16777","16748","16724","16694","16709","16669","16629","16608","16608","16591","16595","16567","16565","16575","16604","16586",
"Goseong-gun","Household[Household]","Household","14423","14418","14444","14422","14438","14462","14475","14499","14507","14528","14545","14546","14543","14577","14624","14662","14715","14754","14801","14857","14863","14902","14971","15064","15094","15147","15166","15192","15218","15210","15222","15207","15233","15315","15289","15291","15244","15273","15272","15282","15326","15389","15399","15416","15437","15454","15443","15431","15435","15413","15404","15392","15400","15398","15368","15344","15330","15315","15336","15331","15302","15287","15300","15315","15324","15332","15329","15306","15322","15324","15314",
"Yangyang-gun","Household[Household]","Household","14099","14096","14119","14141","14219","14295","14354","14378","14452","14498","14502","14549","14550","14571","14573","14568","14613","14657","14706","14734","14755","14781","14765","14759","14763","14790","14841","14854","14869","14899","14898","14941","14914","14903","14914","14948","14936","14971","15006","15020","15027","15031","15056","15027","15043","15048","15024","15039","15038","15069","15039","15035","15029","15047","15045","15042","15052","15035","15002","15000","14980","15004","14990","14966","14948","14919","14923","14910","14930","14913","14920",
"Chungcheongbuk-do","Household[Household]","Household","722726","723931","725289","726381","729270","732285","734112","736095","738094","739808","742087","745644","746441","747979","747313","748975","750635","752237","753893","755059","756520","757980","759106","760672","761737","763610","766005","767041","768171","769180","770205","771190","770996","771479","771562","771848","772155","773184","775386","776038","776795","777614","778481","779442","779770","779850","779978","779967","779404","779904","782031","782921","784163","785163","785504","785621","786310","786482","787316","787756","787774","789271","790802","791497","792075","792609","793580","794160","794981","795498","796183",
"Cheongju-si","Household[Household]","Household","361221","362204","363440","364344","366116","368270","369542","370694","371933","372888","374229","376252","377306","378518","378681","379553","380651","381928","383130","383974","385294","385986","386601","387016","387653","388842","389667","390277","390956","391641","392190","392944","393108","393328","393441","393697","394037","394735","395289","395666","396053","396675","397420","398522","398876","399081","399172","399092","399065","399553","400215","400920","401872","402662","403155","403371","403675","403792","404286","404569","404700","405899","406298","406571","406900","407186","408025","408498","408963","409351","409538",
"Sangdang-gu","Household[Household]","Household","74371","74752","75353","75769","76250","77274","77927","78419","79118","80100","80613","81185","81879","82830","83044","83228","83394","83616","83741","83858","84084","84261","84461","84548","84726","85064","85208","85257","85287","85421","85614","85859","86354","86678","86780","87184","87576","87872","88027","88188","88344","88551","88803","89442","89621","89705","89712","89763","89880","89941","90001","89900","89805","89756","89697","89692","89670","89625","89564","89601","89661","89659","89712","89744","89724","89644","89691","89657","89541","89381","89305",
"Seowon-gu","Household[Household]","Household","87055","86996","86958","86992","87193","87215","87301","87397","87473","87336","87329","87404","87442","87354","87299","87722","88082","88212","88350","88577","88854","88852","88934","89194","89391","89754","89905","90026","90182","90227","90283","90462","90327","90321","90254","90101","89992","89968","89820","89672","89689","89669","89501","89225","89102","89018","89020","88901","88696","88724","88903","88834","88809","88606","88349","88172","88147","88085","88010","87924","87803","88198","88265","88279","88320","88333","88432","88384","88554","89174","89484",
"Heungdeok-gu","Household[Household]","Household","114858","115381","115995","116391","117197","118163","118522","118888","119192","119217","119505","120261","120592","120847","120847","120869","121161","121915","122547","122832","123290","123572","123659","123699","123915","124192","124483","124607","124933","125446","125667","125927","125817","125687","125656","125730","125773","126077","126564","126836","126957","127396","128235","129314","129692","130017","130181","130239","130318","130622","130918","131859","132987","133961","134682","134938","135139","135354","136089","136436","136622","137163","137400","137678","137983","138358","138889","139421","139819","139911","139942",
"Cheongwon-gu","Household[Household]","Household","84937","85075","85134","85192","85476","85618","85792","85990","86150","86235","86782","87402","87393","87487","87491","87734","88014","88185","88492","88707","89066","89301","89547","89575","89621","89832","90071","90387","90554","90547","90626","90696","90610","90642","90751","90682","90696","90818","90878","90970","91063","91059","90881","90541","90461","90341","90259","90189","90171","90266","90393","90327","90271","90339","90427","90569","90719","90728","90623","90608","90614","90879","90921","90870","90873","90851","91013","91036","91049","90885","90807",
"Chungju-si","Household[Household]","Household","95808","95911","96057","96185","96586","96748","96946","97280","97540","97660","97876","98020","98174","98404","98161","98290","98440","98661","98832","99025","99202","99477","99606","99651","99725","99870","100080","100187","100320","100409","100529","100654","100746","100776","100813","100843","100961","101204","101377","101482","101618","101683","101846","101969","101946","101991","102093","102143","102152","102316","102560","102750","102908","103002","102993","103011","103366","103430","103492","103470","103658","104005","104002","104021","104025","104087","104363","104495","104605","104568","104563",
"Jecheon-si","Household[Household]","Household","63318","63321","63286","63273","63459","63595","63623","63703","63782","63847","63902","63945","63923","63894","64182","64427","64622","64432","64459","64461","64497","64581","64590","64540","64493","64781","65754","65739","65758","65732","65747","65782","65578","65647","65542","65436","65274","65361","66579","66545","66608","66558","66533","66411","66347","66303","66220","66038","65748","65597","66484","66378","66376","66305","66200","66086","66073","65992","65927","65881","65748","65677","66492","66611","66579","66497","66304","66215","66274","66299","66399",
"Boeun-gun","Household[Household]","Household","16688","16716","16732","16739","16781","16800","16819","16850","16895","16911","16954","16981","16999","17033","16927","16945","16960","16943","16961","16966","16951","16968","16993","17039","17056","17045","17055","17078","17077","17079","17082","17066","16963","16957","16983","16959","16954","16983","16969","16954","16949","16929","16919","16909","16898","16874","16869","16864","16844","16868","16872","16876","16885","16875","16865","16847","16839","16825","16815","16814","16815","16796","16799","16786","16787","16820","16819","16798","16798","16791","16793",
"Okcheon-gun","Household[Household]","Household","24027","24018","24013","24075","24165","24263","24285","24338","24354","24378","24411","24437","24472","24570","24486","24547","24614","24776","24831","24868","24904","25052","25105","25104","25280","25304","25337","25414","25449","25484","25537","25518","25429","25414","25398","25415","25396","25340","25419","25459","25442","25476","25480","25478","25501","25458","25447","25406","25379","25383","25433","25413","25383","25417","25431","25392","25379","25374","25391","25368","25330","25368","25511","25629","25664","25692","25723","25741","25749","25748","25801",
"Yeongdong-gun","Household[Household]","Household","24391","24372","24335","24291","24294","24339","24345","24393","24376","24390","24405","24414","24331","24254","23974","23942","23921","23888","23897","23857","23804","23822","23814","23813","23805","23782","23816","23815","23820","23813","23842","23885","23871","23866","23847","23794","23804","23799","23832","23864","23877","23878","23884","23814","23817","23785","23754","23722","23738","23700","23739","23730","23755","23761","23745","23746","23729","23709","23738","23715","23712","23694","23671","23652","23645","23643","23618","23609","23606","23591","23568",
"Jeungpyeong-gun","Household[Household]","Household","17316","17334","17351","17386","17449","17489","17558","17579","17630","17639","17659","17697","17755","17716","17649","17666","17684","17698","17723","17718","17710","17703","17734","17832","17936","18018","18105","18177","18242","18267","18343","18428","18468","18489","18532","18583","18628","18663","18728","18731","18762","18795","18834","18831","18875","18880","18901","18944","18959","18955","18970","18983","18971","18981","18963","18944","18956","18956","18963","18961","18970","18957","18993","19058","19098","19138","19121","19103","19093","19097","19119",
"Jincheon-gun","Household[Household]","Household","37343","37474","37583","37697","37894","38110","38226","38379","38692","39103","39455","39594","39743","39974","40005","40318","40527","40687","40817","40922","41046","41171","41224","41323","41505","41650","41762","41818","41875","42003","42094","42118","42175","42269","42327","42398","42363","42337","42372","42399","42472","42499","42459","42481","42474","42493","42567","42751","42640","42604","42822","42943","43017","43052","43049","43047","43055","43031","42968","42976","42940","42871","42859","42856","42879","42816","42754","42796","42901","43013","42985",
"Goesan-gun","Household[Household]","Household","20921","20816","20730","20682","20692","20718","20664","20720","20767","20862","21065","22145","21601","21457","21257","21251","21184","21159","21130","21086","20980","20992","21051","21851","21526","21464","21439","21431","21461","21442","21399","21377","21304","21333","21324","21347","21309","21303","21283","21285","21297","21321","21297","21238","21246","21238","21265","21304","21239","21243","21229","21219","21219","21223","21183","21133","21187","21190","21273","21400","21302","21300","21309","21294","21352","21368","21318","21302","21253","21245","21232",
"Eumseong-gun","Household[Household]","Household","46513","46573","46567","46521","46612","46708","46848","46896","46830","46809","46803","46831","46835","46889","46767","46825","46805","46893","46994","47074","47052","47145","47319","47431","47660","47774","47888","47980","48080","48187","48299","48299","48269","48301","48270","48292","48340","48378","48421","48516","48566","48618","48587","48536","48504","48457","48421","48431","48346","48378","48387","48355","48438","48535","48547","48675","48704","48840","49118","49269","49290","49428","49614","49775","49887","50116","50285","50365","50495","50546","50933",
"Danyang-gun","Household[Household]","Household","15180","15192","15195","15188","15222","15245","15256","15263","15295","15321","15328","15328","15302","15270","15224","15211","15227","15172","15119","15108","15080","15083","15069","15072","15098","15080","15102","15125","15133","15123","15143","15119","15085","15099","15085","15084","15089","15081","15117","15137","15151","15182","15222","15253","15286","15290","15269","15272","15294","15307","15320","15354","15339","15350","15373","15369","15347","15343","15345","15333","15309","15276","15254","15244","15259","15246","15250","15238","15244","15249","15252",
"Chungcheongnam-do","Household[Household]","Household","960438","961890","963547","964860","967947","971033","973444","975474","977399","978784","980711","983153","984768","987100","985844","987866","989963","991636","993794","995603","997516","999286","1000660","1001915","1003132","1005290","1007776","1009254","1010866","1012446","1013955","1015515","1015797","1017146","1018101","1019093","1020071","1022584","1025100","1026355","1027858","1029072","1030071","1031232","1032336","1033330","1034508","1035449","1036685","1039375","1042712","1044592","1046334","1047238","1048152","1048985","1050067","1050910","1051634","1052129","1052547","1055137","1056928","1057684","1058425","1059004","1059812","1060583","1061546","1061879","1062153",
"Cheonan-si","Household[Household]","Household","282073","283205","284041","284504","285817","287440","288374","289095","289954","290408","290839","291425","291922","292659","292737","293164","293853","294286","294912","295463","296410","297013","297580","297987","298394","298808","299485","300195","300798","301238","301765","302517","302490","302877","302802","302893","303038","304112","304878","305274","305769","306465","306680","306694","306785","306707","306555","306418","306610","307729","308846","309566","310208","310420","310825","311249","311656","311899","312271","312542","312729","314228","314680","315096","315455","315776","316391","316853","317455","317655","317851",
"dongnam-gu","Household[Household]","Household","113586","113881","114071","114121","114344","114695","115065","115254","115426","115496","115508","115586","115683","115898","115836","115941","115967","115999","116147","116278","116566","116752","116915","116963","117111","117346","117555","117771","118181","118507","118728","119105","118976","119111","119035","119122","119369","120047","120607","120881","121135","121374","121445","121474","121488","121424","121335","121234","121694","122642","123331","123677","124069","124219","124432","124559","124637","124715","124978","125131","124899","125464","125599","125868","125967","126113","126464","126825","127372","127465","127627",
"seobuk-gu","Household[Household]","Household","168487","169324","169970","170383","171473","172745","173309","173841","174528","174912","175331","175839","176239","176761","176901","177223","177886","178287","178765","179185","179844","180261","180665","181024","181283","181462","181930","182424","182617","182731","183037","183412","183514","183766","183767","183771","183669","184065","184271","184393","184634","185091","185235","185220","185297","185283","185220","185184","184916","185087","185515","185889","186139","186201","186393","186690","187019","187184","187293","187411","187830","188764","189081","189228","189488","189663","189927","190028","190083","190190","190224",
"Gongju-si","Household[Household]","Household","50502","50432","50406","50415","50512","50592","50688","50828","50871","50908","50912","50966","51039","51112","50877","50946","51066","51112","51189","51268","51353","51442","51569","51580","51594","51684","52111","52156","52182","52252","52340","52428","52454","52464","52413","52394","52335","52484","52823","52965","53068","53129","53122","53125","53139","53079","53040","53019","52928","52925","53421","53510","53617","53637","53632","53597","53649","53657","53627","53537","53446","53358","53719","53755","53808","53818","53787","53767","53822","53805","53785",
"Boryeong-si","Household[Household]","Household","48341","48405","48531","48567","48755","48949","49020","49098","49133","49209","49280","49361","49391","49429","49204","49199","49230","49270","49319","49297","49331","49364","49345","49419","49390","49421","49528","49586","49635","49686","49686","49683","49628","49632","49668","49694","49710","49746","49827","49906","49930","49928","49937","49887","49842","49800","49759","49709","49646","49600","49532","49528","49549","49529","49493","49440","49384","49345","49283","49256","49196","49124","49119","49072","49048","49018","49023","49009","49001","48989","48913",
"Asan-si","Household[Household]","Household","135376","135574","135861","136117","136482","136567","136987","137507","137893","138216","138829","139580","140087","140829","141013","141644","142167","142927","143617","144293","144786","145338","145756","145869","146473","147704","148330","148703","149080","149551","149965","150342","150761","151202","151761","152249","153014","153585","153820","153966","154180","154263","154719","155580","156245","157049","158101","159108","159926","160879","161693","162275","162789","163138","163545","163900","164315","164576","164790","165070","165369","166240","166475","166617","166735","166874","167173","167528","167749","167941","168041",
"Seosan-si","Household[Household]","Household","76830","77059","77299","77492","77836","78063","78265","78448","78627","78734","78919","79103","79283","79554","79745","79984","80212","80421","80623","80839","81029","81158","81294","81407","81542","81664","81737","81801","81921","82011","82104","82281","82193","82278","82386","82433","82548","82732","82858","82936","83072","83207","83296","83380","83424","83483","83566","83565","83760","83898","84136","84284","84396","84458","84399","84403","84381","84276","84197","84142","84074","84074","84140","84152","84181","84269","84176","84213","84273","84234","84205",
"Nonsan-si","Household[Household]","Household","57290","57309","57363","57389","57505","57626","57645","57655","57730","57726","57746","57826","57969","57989","57510","57604","57702","57753","57819","57881","57957","57990","58030","58048","58126","58205","58244","58272","58265","58276","58264","58266","58148","58157","58162","58137","58109","58089","58088","58069","58080","58037","58001","57898","57865","57797","57754","57648","57615","57631","57642","57669","57676","57662","57618","57561","57527","57461","57395","57337","57289","57330","57308","57308","57317","57303","57255","57217","57124","57077","57039",
"Gyerong-si","Household[Household]","Household","15924","15921","15946","16038","16063","16138","16184","16233","16294","16359","16467","16531","16550","16719","16743","16775","16826","16826","16898","16941","16932","16915","16939","17152","17221","17298","17345","17396","17422","17452","17462","17488","17718","17871","17956","18051","18062","18119","18351","18555","18707","18808","18868","19088","19183","19260","19325","19404","19445","19513","19539","19527","19535","19538","19558","19546","19549","19547","19553","19536","19463","19450","19479","19498","19527","19521","19552","19550","19554","19536","19528",
"Dangjin-si","Household[Household]","Household","76202","76246","76258","76330","76496","76642","76807","76936","77030","77206","77385","77661","77789","78002","77982","78209","78399","78673","78846","78951","79070","79244","79388","79526","79582","79627","79779","79859","79987","80222","80524","80670","80738","80871","80998","81199","81335","81526","81699","81831","82025","82172","82347","82437","82612","82837","82995","83058","83160","83277","83406","83509","83666","83784","84030","84258","84427","84758","84944","85011","85308","85456","85563","85662","85755","85849","85912","85944","86020","86099","86081",
"Geumsan-gun","Household[Household]","Household","25534","25518","25536","25550","25611","25678","25753","25794","25835","25834","25864","25897","25908","25932","25739","25781","25797","25799","25832","25876","25859","25882","25887","25893","25874","25878","25910","25938","25971","26028","26073","26107","26119","26126","26164","26180","26193","26317","26382","26430","26467","26487","26530","26539","26541","26551","26546","26562","26549","26566","26781","26775","26764","26751","26737","26726","26721","26707","26705","26700","26635","26620","26642","26701","26737","26729","26704","26682","26678","26653","26643",
"Buyeo-gun","Household[Household]","Household","33369","33391","33385","33403","33463","33479","33519","33527","33521","33522","33540","33562","33545","33558","33279","33300","33308","33325","33330","33319","33264","33255","33260","33257","33216","33217","33185","33186","33213","33235","33219","33174","33060","33037","32988","32945","32905","32867","32878","32863","32858","32827","32824","32753","32726","32717","32709","32667","32610","32614","32573","32521","32491","32473","32453","32424","32403","32395","32377","32353","32334","32327","32354","32343","32328","32296","32280","32227","32214","32139","32125",
"Seocheon-gun","Household[Household]","Household","26450","26439","26461","26474","26526","26591","26683","26711","26712","26708","26755","26794","26781","26789","26634","26633","26700","26662","26663","26665","26668","26676","26629","26646","26649","26659","26707","26700","26711","26741","26735","26724","26660","26664","26662","26666","26675","26661","26650","26661","26624","26621","26614","26593","26565","26545","26529","26543","26542","26522","26537","26541","26523","26514","26485","26467","26467","26442","26438","26424","26407","26373","26369","26385","26362","26310","26277","26245","26184","26170","26132",
"Cheongyang-gun","Household[Household]","Household","16253","16199","16159","16140","16127","16166","16168","16151","16150","16220","16292","16378","16339","16319","16272","16332","16324","16315","16315","16323","16312","16359","16372","16426","16420","16449","16626","16634","16623","16605","16564","16535","16506","16540","16550","16567","16524","16513","16716","16721","16716","16702","16659","16657","16635","16656","16703","16722","16632","16688","16768","16768","16779","16786","16752","16743","16715","16699","16702","16743","16688","16621","16776","16745","16722","16700","16633","16583","16571","16640","16834",
"Hongseong-gun","Household[Household]","Household","45911","45892","45881","45952","46104","46182","46264","46322","46327","46363","46465","46588","46591","46610","46674","46706","46754","46534","46572","46610","46648","46699","46716","46746","46743","46793","46800","46818","46833","46863","46864","46865","46786","46727","46786","46871","46837","46787","46838","46754","46821","46836","46861","47038","47169","47292","47388","47463","47700","47986","48287","48390","48450","48606","48664","48717","48919","49060","49115","49194","49292","49582","49838","49877","49959","50021","50019","50135","50228","50277","50354",
"Yesan-gun","Household[Household]","Household","38317","38264","38388","38433","38527","38670","38765","38790","38846","38872","38865","38946","39097","39127","38899","38957","38950","38959","39007","39015","38985","39004","39007","39051","38995","38983","39002","38992","39120","39149","39183","39212","39326","39524","39597","39605","39646","39943","40128","40227","40292","40317","40346","40357","40352","40305","40254","40245","40244","40228","40210","40336","40441","40452","40466","40502","40497","40637","40796","40879","40933","40970","41031","41059","41069","41086","41171","41201","41243","41239","41221",
"Taean-gun","Household[Household]","Household","32066","32036","32032","32056","32123","32250","32322","32379","32476","32499","32553","32535","32477","32472","32536","32632","32675","32774","32852","32862","32912","32947","32888","32908","32913","32900","32987","33018","33105","33137","33207","33223","33210","33176","33208","33209","33140","33103","33164","33197","33249","33273","33267","33206","33253","33252","33284","33318","33318","33319","33341","33393","33450","33490","33495","33452","33457","33451","33441","33405","33384","33384","33435","33414","33422","33434","33459","33429","33430","33425","33401",
"Jeollabuk-do","Household[Household]","Household","817017","818452","820140","821517","824032","826134","827895","829789","831694","833069","834858","836660","838242","840063","839942","841378","841543","842662","843708","844645","846204","847406","848380","849001","849366","850567","851558","852086","852829","853717","854552","855440","854565","855270","855573","855849","856232","857504","858935","859599","860284","860761","861288","861561","861647","861451","861263","861193","861029","861966","863028","863318","863874","864100","864113","864007","864068","864295","864414","864608","864338","865541","866245","866486","866765","867008","867089","867403","868058","868091","868085",
"Jeonju-si","Household[Household]","Household","274378","275261","276201","277083","278130","278954","279740","280768","281730","282455","283334","284106","285227","286437","286652","287245","287988","288795","289324","289966","291388","292396","292890","293207","293320","293865","294245","294429","294607","295124","295431","295936","295793","296200","296394","296241","296124","296295","296421","296420","296637","296691","296819","296807","296785","296632","296481","296394","296159","296567","296969","297029","297353","297425","297407","297381","297342","297192","297075","296931","296642","297312","297303","297089","297029","297009","296948","297053","297120","297022","296778",
"Wansan-gu","Household[Household]","Household","144012","144501","145058","145355","145775","146315","146929","147559","148096","148315","148639","149040","149433","149872","149772","150013","150334","150701","150897","151177","151703","151989","152073","152056","152029","152221","152435","152480","152536","153064","153486","153878","153818","153837","153706","153551","153520","153612","153755","153862","153946","153801","153780","153729","153652","153548","153427","153376","153284","153386","153539","153521","153485","153426","153429","153394","153376","153289","153174","153058","152891","153075","152996","152864","152860","152861","152848","152893","152889","152888","152809",
"Deokjin-gu","Household[Household]","Household","130366","130760","131143","131728","132355","132639","132811","133209","133634","134140","134695","135066","135794","136565","136880","137232","137654","138094","138427","138789","139685","140407","140817","141151","141291","141644","141810","141949","142071","142060","141945","142058","141975","142363","142688","142690","142604","142683","142666","142558","142691","142890","143039","143078","143133","143084","143054","143018","142875","143181","143430","143508","143868","143999","143978","143987","143966","143903","143901","143873","143751","144237","144307","144225","144169","144148","144100","144160","144231","144134","143969",
